class_type,class_name,cover_fraction,cover_sqkm
benthic,Rock,0.1077,17.9082
benthic,Rubble,0.0908,15.0972
benthic,Sand,0.4701,78.1757
benthic,Microalgal Mats,0.0038,0.6316
benthic,Coral/Algae,0.2333,38.7916
benthic,Seagrass,0.0546,9.0878
geomorphic,Reef Slope,0.1488,24.7469
geomorphic,Sheltered Reef Slope,0.0003,0.0519
geomorphic,Reef Crest,0.0250,4.1572
geomorphic,Outer Reef Flat,0.0966,16.0596
geomorphic,Terrestrial Reef Flat,0.2893,48.1088
geomorphic,Plateau,0.0062,1.0232
geomorphic,Back Reef Slope,0.0208,3.4543
geomorphic,Shallow Lagoon,0.0974,16.1979
geomorphic,Deep Lagoon,0.0246,4.0834
geomorphic,Inner Reef Flat,0.2911,48.4188
